id,"number","description","customer","location",productionPerHour,peopleRequired
2217,"105833A","30ML SLUSH BERRY 0MG","DVL","495",2100,5
2216,"105852P","PIXIE DUST - MAG METALS REBRAND","SSL","494",1200,5
2215,"105852D","DUSTY ROSE - MAG METALS REBRAND","SSL","494",1200,5
2214,"105847S","LIP LINER SHRINK SLEEVE SPICE","NMG","494",2400,3
2213,"105852V","VINTAGE BLACK GOLD","SSL","494",1200,5
2212,"105852","KITTEN-MAG METAL REBRAND","SSL","494",1200,5
2211,"105849F","MOO MILK BANANA-6MG","moo","495",3000,6
2210,"105849E","MOO MILK BANANA-3MG","MOO","495",3000,6
2209,"105849D","MOO:MILK BANANA-0MG","MOO","495",3000,6
2208,"105847N","LIP LINER SHIINK SLEEVE NUDE","NMG","494",2400,3
2207,"105822B","cream to powder- BUFF","NMG","495",1980,6
2206,"105849N","MOO MILK STRAWBERRY-6MG","MOO","495",3000,6
2205,"105847T","LIP LINER SHRINK SLEEVE TRUE RED","NMG","494",2400,3
2204,"105850","BEST  LASH  MASCARA-BLISTER","JCC","495",1000,4
2203,"105849B","MOO MILK STRAWBERRY3MG","MOO","495",3000,6
2202,"105849A","MOO MILK STRAWBERRY-0MG","MOO","495",3000,6
2201,"105849h","vanila almond 3mg","moo","495",3000,6
2200,"105849i","vanila almond 6mg","moo","495",3000,6
2199,"105849c","moo milk vanilla almond omg","moo","495",3000,6
2198,"105847H","LIP LINER SHRINK SLEEVE - HAUTE PINK","NMG","494",2400,3
2197,"105847P","LIP LINER SHRINK SLEEVE - HAUTE PINK","NMG","494",2400,3
2196,"105633","DAMSEL-SMUDGESTICK ","SSL","494",1200,4
2195,"105847F","LIP LINER SHRINK SLEEVE FUCHSIA","NMG","494",2400,3
2194,"105848","RUNWAY LASHES-BLACK","nmg","495",1000,4
2193,"105846","ALPINE SMUDGESTICK","SSL","494",1200,4
2192,"105822M","CREAM TO POWDER - MEDIUM BEIGE","NMG","495",1980,6
2191,"105847","LIP LINER SHRINK SLEEVE ALL NATURAL","NMG","494",2400,3
2190,"105845","TETRA SMUDGESTICK","SSL","494",1200,4
2189,"105826","DIE CUT SET UP","NMG","494",1,1
2188,"105830G","BANANA BERRY LIP GLAZE","SSL","494",1200,5
2187,"105820","BROW EYE   HIGHLIGHTER- MATTE BEIGE","NMG","495",2800,5
2186,"105844","Graphite-smudgestick ","SSL","494",1200,4
2185,"105830S","BROWN GLAZE","SSL","494",1200,5
2184,"105831C","RING DROPZ STRAWMELON 6MG 30ML","REJ","495",2100,10
2183,"105830K","KITTEN LIP GLAZE","SSL","494",1200,5
